B0,B1,B2,B3,Label
-53,-46,-32,-52,1
-53,-46,-32,-54,1
-53,-46,-32,-53,1
-53,-46,-32,-52,1
-53,-46,-32,-53,1
-53,-46,-32,-54,1
-53,-46,-32,-53,1
-53,-46,-32,-50,1
-53,-46,-32,-53,1
-53,-46,-32,-54,1
-53,-46,-32,-51,1
-53,-46,-32,-53,1
-53,-46,-32,-50,1
-53,-46,-32,-54,1
-53,-46,-32,-52,1
-53,-46,-32,-53,1
-53,-46,-32,-52,1
-53,-46,-32,-53,1
-53,-46,-32,-53,1
-53,-46,-32,-52,1
-53,-46,-32,-54,1
-53,-46,-32,-53,1
-53,-46,-32,-53,1
-53,-46,-32,-54,1
-53,-46,-32,-54,1
-53,-46,-32,-54,1
-53,-46,-32,-53,1
-53,-46,-32,-55,1
-53,-46,-32,-52,1
-53,-46,-32,-54,1
-53,-46,-32,-54,1
-53,-46,-32,-52,1
-53,-46,-32,-50,1
-53,-46,-32,-50,1
-53,-46,-32,-49,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-49,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-52,1
-53,-46,-32,-50,1
-53,-46,-32,-50,1
-53,-46,-32,-50,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-49,1
-53,-46,-32,-49,1
-53,-46,-32,-49,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-52,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-53,-46,-32,-50,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-53,-46,-32,-48,1
-53,-46,-32,-50,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-53,-46,-32,-49,1
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-49,1
-53,-46,-32,-52,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-48,1
-53,-46,-32,-49,1
-53,-46,-32,-47,1
-53,-46,-32,-49,1
-53,-46,-32,-50,1
-53,-46,-32,-49,1
-53,-46,-32,-49,1
-53,-46,-32,-49,1
-53,-46,-32,-48,1
-53,-46,-32,-46,1
-51,-50,-47,-49,2
-52,-49,-47,-48,2
-52,-48,-47,-48,2
-53,-50,-47,-49,2
-54,-48,-46,-48,2
-52,-49,-45,-48,2
-52,-50,-46,-48,2
-52,-50,-48,-49,2
-52,-50,-47,-49,2
-52,-50,-48,-46,2
-52,-49,-47,-48,2
-52,-50,-47,-48,2
-52,-48,-45,-48,2
-52,-48,-47,-49,2
-53,-50,-48,-47,2
-52,-49,-47,-48,2
-52,-50,-45,-48,2
-52,-49,-46,-47,2
-52,-49,-47,-48,2
-52,-49,-48,-48,2
-56,-49,-47,-48,2
-52,-48,-48,-48,2
-52,-48,-46,-48,2
-53,-48,-48,-47,2
-53,-48,-48,-48,2
-52,-48,-49,-48,2
-53,-49,-46,-49,2
-53,-48,-48,-47,2
-54,-49,-50,-48,2
-53,-49,-48,-47,2
-53,-48,-48,-48,2
-53,-48,-48,-48,2
-54,-47,-45,-49,2
-54,-46,-49,-46,2
-52,-49,-47,-49,2
-52,-46,-49,-49,2
-52,-49,-48,-47,2
-52,-48,-50,-47,2
-61,-51,-46,-48,2
-51,-47,-46,-48,2
-52,-48,-44,-48,2
-53,-47,-47,-49,2
-51,-49,-46,-48,2
-57,-50,-49,-49,2
-53,-49,-49,-48,2
-53,-50,-48,-48,2
-53,-49,-49,-48,2
-52,-47,-49,-48,2
-53,-50,-47,-46,2
-54,-50,-50,-48,2
-53,-50,-47,-49,2
-53,-50,-47,-47,2
-52,-49,-50,-48,2
-54,-50,-48,-48,2
-53,-51,-49,-48,2
-55,-50,-50,-48,2
-52,-50,-50,-48,2
-52,-50,-49,-48,2
-52,-48,-47,-48,2
-53,-50,-46,-47,2
-54,-51,-51,-47,2
-53,-50,-50,-49,2
-53,-51,-50,-49,2
-52,-49,-50,-49,2
-53,-52,-49,-48,2
-54,-49,-48,-49,2
-54,-52,-47,-48,2
-52,-51,-48,-48,2
-54,-51,-49,-47,2
-53,-51,-50,-48,2
-53,-51,-50,-49,2
-53,-51,-50,-48,2
-52,-50,-50,-49,2
-53,-47,-50,-47,2
-53,-50,-49,-48,2
-52,-52,-50,-48,2
-53,-52,-50,-48,2
-52,-51,-47,-48,2
-52,-53,-48,-48,2
-53,-51,-47,-49,2
-53,-52,-47,-48,2
-53,-48,-49,-47,2
-52,-52,-49,-47,2
-52,-49,-49,-49,2
-52,-53,-50,-48,2
-52,-52,-49,-49,2
-54,-51,-47,-49,2
