B0,B1,B2,B3,Label
-53,-46,-32,-52,1
-53,-46,-32,-54,1
-53,-46,-32,-53,1
-53,-46,-32,-52,1
-53,-46,-32,-53,1
-53,-46,-32,-54,1
-53,-46,-32,-53,1
-53,-46,-32,-50,1
-53,-46,-32,-53,1
-53,-46,-32,-54,1
-53,-46,-32,-51,1
-53,-46,-32,-53,1
-53,-46,-32,-50,1
-53,-46,-32,-54,1
-53,-46,-32,-52,1
-53,-46,-32,-53,1
-53,-46,-32,-52,1
-53,-46,-32,-53,1
-53,-46,-32,-53,1
-53,-46,-32,-52,1
-53,-46,-32,-54,1
-53,-46,-32,-53,1
-53,-46,-32,-53,1
-53,-46,-32,-54,1
-53,-46,-32,-54,1
-53,-46,-32,-54,1
-53,-46,-32,-53,1
-53,-46,-32,-55,1
-53,-46,-32,-52,1
-53,-46,-32,-54,1
-53,-46,-32,-54,1
-53,-46,-32,-52,1
-53,-46,-32,-50,1
-53,-46,-32,-50,1
-53,-46,-32,-49,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-49,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-52,1
-53,-46,-32,-50,1
-53,-46,-32,-50,1
-53,-46,-32,-50,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-49,1
-53,-46,-32,-49,1
-53,-46,-32,-49,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-52,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-53,-46,-32,-50,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-53,-46,-32,-48,1
-53,-46,-32,-50,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-53,-46,-32,-49,1
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-49,1
-53,-46,-32,-52,1
-53,-46,-32,-51,1
-53,-46,-32,-51,1
-53,-46,-32,-48,1
-53,-46,-32,-49,1
-53,-46,-32,-47,1
-53,-46,-32,-49,1
-53,-46,-32,-50,1
-53,-46,-32,-49,1
-53,-46,-32,-49,1
-53,-46,-32,-49,1
-53,-46,-32,-48,1
-53,-46,-32,-46,1
-49,-23,-61,-54,4
-49,-21,-62,-54,4
-49,-24,-61,-55,4
-49,-23,-63,-54,4
-49,-23,-61,-53,4
-49,-23,-59,-53,4
-49,-22,-64,-54,4
-49,-23,-62,-54,4
-49,-23,-64,-54,4
-49,-24,-63,-54,4
-49,-23,-63,-53,4
-49,-22,-60,-53,4
-49,-23,-62,-54,4
-49,-23,-63,-54,4
-48,-24,-61,-53,4
-49,-23,-62,-54,4
-49,-24,-61,-54,4
-49,-25,-61,-54,4
-49,-22,-60,-54,4
-49,-24,-63,-53,4
-49,-23,-65,-53,4
-49,-23,-63,-53,4
-49,-23,-63,-58,4
-50,-23,-61,-54,4
-50,-23,-59,-53,4
-51,-23,-63,-54,4
-50,-23,-62,-54,4
-49,-27,-61,-56,4
-50,-24,-63,-55,4
-49,-23,-62,-53,4
-50,-23,-62,-54,4
-50,-26,-62,-54,4
-51,-23,-64,-54,4
-50,-23,-64,-53,4
-50,-23,-60,-53,4
-50,-23,-62,-53,4
-50,-20,-61,-54,4
-49,-23,-63,-54,4
-49,-23,-62,-54,4
-50,-24,-63,-54,4
-50,-22,-64,-53,4
-49,-23,-65,-54,4
-49,-23,-63,-53,4
-50,-24,-65,-55,4
-50,-23,-63,-53,4
-50,-23,-63,-54,4
-50,-23,-63,-54,4
-51,-23,-62,-53,4
-50,-25,-60,-54,4
-50,-23,-59,-54,4
-50,-20,-62,-54,4
-50,-24,-59,-53,4
-49,-23,-62,-53,4
-50,-23,-59,-53,4
-50,-24,-61,-54,4
-50,-23,-60,-53,4
-49,-24,-59,-53,4
-50,-22,-60,-55,4
-49,-23,-62,-53,4
-49,-23,-59,-53,4
-50,-23,-59,-54,4
-49,-23,-60,-54,4
-50,-24,-58,-53,4
-50,-24,-59,-53,4
-49,-22,-61,-53,4
-49,-23,-61,-54,4
-49,-24,-61,-53,4
-49,-23,-61,-56,4
-49,-23,-61,-54,4
-50,-23,-62,-54,4
-50,-23,-61,-53,4
-50,-24,-58,-54,4
-49,-23,-60,-54,4
-50,-23,-61,-53,4
-49,-23,-59,-53,4
-49,-23,-58,-54,4
-49,-22,-59,-53,4
-49,-23,-61,-54,4
-50,-23,-58,-54,4
-50,-22,-62,-54,4
-50,-23,-60,-54,4
-49,-23,-59,-53,4
-52,-22,-62,-54,4
-50,-23,-61,-53,4
-50,-24,-62,-53,4
-50,-22,-60,-54,4
-50,-23,-61,-54,4
