B0,B1,B2,B3,Label
-25,-59,-53,-67,13
-58,-36,-52,-58,5
-50,-23,-60,-53,4
-36,-36,-53,-53,9
-58,-53,-52,-38,12
-36,-47,-54,-53,9
-54,-40,-53,-58,5
-51,-40,-52,-58,5
-50,-22,-62,-54,4
-54,-38,-53,-58,5
-53,-46,-32,-51,1
-49,-55,-54,-29,16
-50,-23,-60,-54,4
-50,-23,-63,-54,4
-49,-53,-51,-29,16
-53,-46,-32,-51,1
-35,-47,-53,-53,9
-25,-54,-53,-67,13
-27,-57,-52,-67,13
-39,-38,-51,-53,9
-25,-57,-52,-67,13
-51,-52,-36,-47,8
-47,-53,-55,-29,16
-49,-23,-62,-54,4
-49,-56,-55,-29,16
-50,-38,-52,-58,5
-50,-23,-58,-54,4
-36,-54,-54,-53,9
-49,-44,-53,-58,5
-53,-46,-32,-51,1
-36,-36,-54,-55,9
-48,-55,-55,-30,16
-25,-60,-54,-68,13
-25,-59,-53,-68,13
-53,-46,-32,-50,1
-54,-22,-58,-54,4
-50,-55,-54,-29,16
-55,-61,-54,-37,12
-36,-49,-52,-53,9
-58,-54,-53,-38,12
-24,-58,-53,-67,13
-53,-46,-32,-51,1
-53,-46,-32,-49,1
-25,-60,-53,-62,13
-25,-61,-53,-67,13
-37,-36,-53,-53,9
-48,-53,-54,-30,16
-50,-52,-37,-47,8
-57,-53,-53,-37,12
-53,-39,-52,-58,5
-25,-61,-54,-66,13
-51,-53,-36,-47,8
-58,-53,-53,-38,12
-25,-57,-53,-67,13
-53,-46,-32,-52,1
-53,-46,-32,-50,1
-49,-23,-61,-54,4
-53,-46,-32,-51,1
-58,-53,-53,-38,12
-50,-23,-64,-53,4
-48,-54,-55,-28,16
-50,-24,-59,-53,4
-36,-36,-55,-54,9
-50,-23,-62,-54,4
-53,-46,-32,-53,1
-24,-60,-52,-67,13
-49,-42,-52,-58,5
-52,-54,-36,-48,8
-53,-53,-52,-38,12
-58,-40,-52,-58,5
-51,-53,-36,-47,8
-51,-53,-37,-47,8
-50,-23,-62,-53,4
-25,-59,-53,-67,13
-50,-23,-63,-53,4
-25,-53,-53,-62,13
-37,-49,-55,-53,9
-49,-23,-59,-54,4
-25,-60,-54,-67,13
-51,-52,-36,-49,8
-24,-58,-53,-67,13
-24,-61,-52,-67,13
-48,-55,-54,-28,16
-25,-58,-53,-61,13
-59,-43,-46,-56,5
-26,-60,-53,-65,13
-50,-53,-37,-48,8
-36,-36,-54,-53,9
-49,-54,-55,-30,16
-51,-53,-35,-47,8
-24,-59,-53,-66,13
-53,-38,-52,-58,5
-53,-46,-32,-50,1
-25,-54,-53,-62,13
-53,-40,-53,-58,5
-50,-55,-55,-30,16
-51,-54,-36,-47,8
-57,-52,-52,-38,12
-49,-23,-61,-54,4
-25,-54,-52,-60,13
-53,-46,-32,-51,1
-50,-23,-62,-54,4
-36,-36,-53,-53,9
-52,-40,-53,-58,5
-50,-53,-53,-29,16
-36,-51,-50,-53,9
-50,-53,-36,-47,8
-53,-46,-32,-49,1
-54,-53,-53,-37,12
-24,-60,-53,-70,13
-53,-34,-54,-58,5
-53,-37,-53,-58,5
-24,-59,-53,-67,13
-51,-53,-36,-48,8
-48,-40,-52,-58,5
-50,-20,-61,-54,4
-53,-42,-52,-58,5
-49,-37,-53,-59,5
-52,-40,-53,-58,5
-49,-22,-60,-54,4
-54,-54,-52,-37,12
-53,-46,-32,-52,1
-58,-53,-52,-38,12
-54,-40,-53,-63,5
-51,-52,-35,-48,8
-50,-25,-60,-54,4
-50,-56,-54,-29,16
-53,-41,-53,-59,5
-49,-56,-53,-29,16
-53,-40,-53,-57,5
-53,-46,-32,-49,1
-26,-55,-54,-67,13
-50,-24,-63,-54,4
-25,-63,-52,-65,13
-49,-23,-64,-54,4
-49,-55,-54,-28,16
-36,-48,-53,-53,9
-24,-61,-53,-64,13
-24,-57,-51,-64,13
-49,-55,-51,-30,16
-49,-54,-55,-28,16
-59,-52,-54,-38,12
-51,-54,-36,-48,8
-58,-52,-52,-37,12
-24,-59,-52,-65,13
-37,-37,-53,-53,9
-56,-53,-49,-38,12
-56,-53,-50,-38,12
-25,-59,-46,-60,13
-49,-55,-53,-30,16
-49,-24,-61,-53,4
-49,-53,-56,-29,16
-58,-53,-54,-37,12
-49,-54,-53,-30,16
-58,-53,-53,-39,12
-49,-24,-61,-55,4
-50,-52,-36,-48,8
-52,-38,-54,-58,5
-47,-55,-53,-30,16
-36,-48,-53,-53,9
-51,-53,-36,-48,8
-53,-41,-54,-57,5
-36,-37,-52,-53,9
-53,-46,-32,-51,1
-36,-51,-53,-53,9
-57,-53,-52,-37,12
-53,-46,-32,-48,1
-51,-39,-54,-58,5
-59,-52,-54,-37,12
-53,-46,-32,-51,1
-48,-55,-55,-29,16
-53,-46,-32,-50,1
-47,-54,-54,-29,16
-49,-27,-61,-56,4
-35,-51,-55,-53,9
-49,-24,-63,-53,4
-51,-55,-55,-28,16
-36,-48,-51,-53,9
-51,-43,-53,-58,5
-24,-56,-54,-65,13
-37,-47,-52,-54,9
-57,-53,-53,-38,12
-37,-50,-53,-54,9
-25,-59,-53,-67,13
-50,-40,-53,-59,5
-35,-47,-61,-53,9
-48,-54,-54,-30,16
-48,-55,-55,-29,16
-49,-55,-53,-29,16
-59,-56,-54,-38,12
-50,-54,-36,-47,8
-49,-24,-61,-54,4
-49,-54,-53,-28,16
-48,-53,-55,-30,16
-48,-54,-55,-30,16
-53,-46,-32,-53,1
-49,-23,-60,-53,4
-50,-23,-59,-54,4
-60,-46,-52,-60,5
-57,-54,-49,-38,12
-58,-53,-53,-38,12
-25,-60,-54,-67,13
-37,-46,-53,-54,9
-60,-43,-52,-60,5
-51,-53,-36,-47,8
-36,-49,-55,-53,9
-36,-49,-53,-53,9
-50,-23,-61,-54,4
-53,-46,-32,-51,1
-24,-61,-53,-62,13
-50,-53,-35,-47,8
-49,-40,-53,-58,5
-48,-55,-53,-29,16
-51,-53,-36,-47,8
-50,-23,-61,-53,4
-51,-53,-54,-30,16
-36,-58,-52,-53,9
-58,-54,-52,-38,12
-61,-55,-51,-30,16
-53,-53,-52,-37,12
-52,-39,-54,-58,5
-47,-54,-53,-30,16
-49,-40,-54,-58,5
-36,-50,-53,-53,9
-49,-23,-65,-53,4
-53,-46,-32,-50,1
-54,-40,-53,-58,5
-49,-23,-62,-54,4
-37,-36,-53,-53,9
-35,-49,-53,-53,9
-53,-46,-32,-51,1
-53,-53,-51,-37,12
-51,-53,-34,-47,8
-53,-40,-54,-58,5
-59,-41,-53,-57,5
-36,-48,-51,-54,9
-49,-24,-63,-54,4
-52,-40,-53,-58,5
-50,-54,-36,-50,8
-59,-42,-52,-57,5
-55,-40,-52,-58,5
-57,-53,-54,-38,12
-52,-38,-53,-58,5
-36,-49,-54,-53,9
-52,-41,-52,-58,5
-49,-44,-53,-58,5
-49,-40,-54,-58,5
-25,-59,-53,-67,13
-52,-24,-61,-54,4
-54,-42,-53,-58,5
-50,-23,-59,-53,4
-53,-46,-32,-53,1
-50,-24,-58,-54,4
-37,-36,-53,-53,9
-51,-52,-35,-48,8
-52,-54,-54,-30,16
-60,-43,-52,-58,5
-24,-64,-54,-65,13
-36,-36,-52,-53,9
-58,-53,-54,-37,12
-51,-23,-62,-54,4
-50,-53,-53,-30,16
-59,-42,-52,-58,5
-25,-58,-53,-67,13
-49,-22,-59,-53,4
-51,-54,-54,-33,16
-53,-46,-32,-51,1
-53,-46,-32,-50,1
-37,-37,-52,-54,9
-48,-42,-54,-57,5
-25,-61,-52,-68,13
-28,-59,-54,-67,13
-53,-46,-32,-54,1
-48,-54,-54,-28,16
-50,-53,-35,-47,8
-36,-49,-52,-52,9
-53,-46,-32,-49,1
-53,-46,-32,-51,1
-57,-56,-54,-38,12
-24,-57,-52,-67,13
-48,-23,-63,-54,4
-47,-53,-55,-30,16
-54,-53,-52,-37,12
-49,-23,-62,-54,4
-49,-54,-54,-29,16
-50,-26,-62,-54,4
-38,-38,-56,-54,9
-27,-58,-53,-62,13
-36,-48,-52,-53,9
-62,-44,-48,-58,5
-27,-61,-52,-60,13
-53,-46,-32,-50,1
