B0,B1,B2,Label
-57,-53,-29,1
-60,-54,-28,1
-64,-56,-29,1
-64,-55,-29,1
-60,-56,-29,1
-60,-56,-29,1
-63,-53,-29,1
-64,-55,-28,1
-57,-55,-28,1
-59,-54,-28,1
-58,-53,-29,1
-57,-55,-29,1
-58,-54,-29,1
-60,-54,-30,1
-57,-54,-28,1
-58,-54,-29,1
-57,-55,-29,1
-58,-55,-29,1
-58,-55,-29,1
-58,-52,-29,1
-59,-52,-28,1
-58,-52,-28,1
-60,-53,-29,1
-58,-56,-29,1
-60,-54,-28,1
-60,-54,-29,1
-59,-55,-29,1
-60,-55,-29,1
-58,-54,-28,1
-61,-54,-29,1
-58,-53,-29,1
-60,-55,-29,1
-57,-54,-29,1
-59,-55,-28,1
-58,-56,-29,1
-58,-55,-28,1
-59,-56,-29,1
-56,-53,-29,1
-58,-52,-29,1
-58,-54,-28,1
-58,-55,-29,1
-60,-54,-30,1
-57,-53,-29,1
-59,-52,-28,1
-62,-56,-29,1
-58,-53,-28,1
-59,-55,-29,1
-58,-52,-30,1
-58,-53,-28,1
-58,-54,-29,1
-60,-53,-29,1
-59,-52,-29,1
-60,-55,-28,1
-57,-53,-28,1
-62,-52,-28,1
-60,-53,-29,1
-57,-54,-28,1
-58,-54,-29,1
-59,-53,-28,1
-58,-52,-28,1
-58,-53,-28,1
-58,-54,-29,1
-57,-51,-29,1
-55,-52,-29,1
-54,-53,-29,1
-55,-53,-29,1
-55,-54,-28,1
-55,-55,-28,1
-56,-53,-29,1
-54,-54,-29,1
-54,-55,-29,1
-54,-54,-28,1
-55,-54,-29,1
-55,-55,-28,1
-55,-54,-29,1
-55,-52,-29,1
-55,-54,-29,1
-55,-53,-29,1
-55,-55,-28,1
-54,-52,-29,1
-55,-53,-28,1
-55,-54,-29,1
-55,-54,-29,1
-55,-54,-28,1
-54,-56,-29,1
-56,-55,-29,1
-54,-54,-28,1
-55,-55,-28,1
-54,-54,-29,1
-54,-55,-29,1
-54,-55,-29,1
-55,-56,-29,1
-54,-55,-30,1
-54,-55,-29,1
-55,-55,-29,1
-55,-54,-29,1
-55,-54,-29,1
-56,-53,-29,1
-55,-52,-30,1
-56,-52,-29,1
-54,-57,-29,1
-61,-55,-28,1
-60,-57,-28,1
-57,-56,-29,1
-57,-51,-29,1
-54,-53,-29,1
-54,-55,-28,1
-54,-56,-29,1
-55,-54,-29,1
-54,-55,-28,1
-55,-56,-28,1
-56,-51,-29,1
-56,-55,-29,1
-56,-56,-34,1
-55,-55,-28,1
-55,-56,-28,1
-62,-52,-28,1
-56,-56,-29,1
-53,-56,-28,1
-47,-50,-29,1
-64,-47,-44,2
-60,-46,-45,2
-58,-45,-44,2
-57,-46,-43,2
-62,-45,-44,2
-57,-45,-44,2
-57,-46,-42,2
-56,-47,-43,2
-56,-45,-41,2
-56,-46,-44,2
-57,-47,-43,2
-58,-45,-44,2
-62,-45,-43,2
-56,-44,-42,2
-56,-44,-43,2
-59,-46,-44,2
-61,-46,-43,2
-58,-46,-43,2
-61,-47,-44,2
-59,-47,-43,2
-56,-47,-44,2
-56,-46,-42,2
-61,-47,-41,2
-60,-46,-43,2
-62,-46,-44,2
-59,-46,-43,2
-56,-46,-42,2
-61,-46,-42,2
-59,-46,-44,2
-58,-46,-42,2
-64,-46,-41,2
-58,-45,-44,2
-63,-45,-43,2
-58,-45,-44,2
-61,-47,-44,2
-59,-46,-43,2
-60,-46,-44,2
-63,-46,-43,2
-60,-46,-43,2
-58,-47,-43,2
-63,-46,-43,2
-64,-46,-43,2
-62,-46,-42,2
-56,-46,-42,2
-57,-45,-44,2
-62,-47,-44,2
-61,-47,-44,2
-63,-46,-44,2
-63,-44,-43,2
-61,-45,-43,2
-61,-46,-41,2
-63,-47,-44,2
-60,-46,-42,2
-58,-46,-42,2
-56,-46,-41,2
-56,-46,-43,2
-56,-46,-44,2
-56,-46,-41,2
-59,-46,-42,2
-59,-46,-44,2
-60,-45,-44,2
-56,-44,-40,2
-56,-45,-44,2
-57,-46,-44,2
-57,-46,-45,2
-58,-46,-42,2
-62,-46,-44,2
-60,-46,-43,2
-59,-46,-42,2
-61,-47,-42,2
-57,-46,-43,2
-62,-46,-43,2
-60,-45,-44,2
-63,-46,-44,2
-63,-46,-43,2
-62,-46,-43,2
-61,-46,-43,2
-62,-47,-43,2
-57,-47,-42,2
-56,-46,-44,2
-61,-47,-43,2
-62,-46,-43,2
-59,-47,-43,2
-61,-46,-44,2
-60,-48,-43,2
-60,-47,-43,2
-55,-46,-43,2
-57,-46,-43,2
-56,-46,-44,2
-56,-47,-43,2
-61,-45,-43,2
-59,-46,-44,2
-62,-46,-42,2
-61,-46,-44,2
-62,-47,-44,2
-58,-46,-43,2
-59,-46,-44,2
-59,-46,-45,2
-57,-46,-44,2
-60,-46,-44,2
-58,-47,-43,2
-61,-47,-44,2
-58,-46,-44,2
-60,-46,-44,2
-62,-46,-43,2
-60,-46,-43,2
-59,-47,-42,2
-59,-47,-43,2
-62,-45,-44,2
-61,-46,-42,2
-56,-45,-43,2
-56,-46,-44,2
-55,-46,-41,2
-56,-46,-44,2
-57,-46,-43,2
-57,-47,-44,2
-58,-46,-43,2
-61,-45,-44,2
-60,-48,-41,2
-58,-45,-45,2
-53,-36,-55,3
-52,-36,-53,3
-53,-34,-51,3
-53,-36,-55,3
-52,-35,-52,3
-53,-35,-53,3
-52,-40,-51,3
-53,-36,-53,3
-52,-36,-54,3
-57,-35,-55,3
-55,-35,-55,3
-57,-35,-55,3
-53,-35,-54,3
-52,-35,-54,3
-57,-35,-55,3
-53,-36,-56,3
-56,-35,-53,3
-54,-35,-53,3
-53,-36,-53,3
-57,-35,-54,3
-53,-35,-55,3
-56,-35,-51,3
-53,-35,-52,3
-55,-35,-51,3
-54,-35,-53,3
-56,-35,-54,3
-53,-36,-55,3
-56,-35,-55,3
-58,-36,-53,3
-54,-35,-53,3
-52,-36,-53,3
-55,-36,-52,3
-54,-39,-54,3
-55,-42,-53,3
-52,-35,-53,3
-54,-36,-52,3
-54,-36,-50,3
-56,-35,-51,3
-54,-37,-53,3
-54,-36,-53,3
-53,-36,-52,3
-53,-36,-53,3
-58,-39,-53,3
-55,-35,-51,3
-56,-35,-50,3
-55,-36,-51,3
-57,-41,-51,3
-53,-36,-53,3
-52,-35,-52,3
-55,-37,-50,3
-56,-35,-49,3
-54,-36,-49,3
-55,-35,-54,3
-54,-36,-53,3
-55,-36,-50,3
-54,-35,-53,3
-58,-35,-50,3
-58,-35,-52,3
-56,-35,-52,3
-55,-36,-53,3
-53,-35,-49,3
-53,-36,-53,3
-52,-37,-50,3
-55,-42,-53,3
-54,-35,-52,3
-55,-36,-51,3
-52,-36,-53,3
-52,-36,-52,3
-52,-36,-50,3
-51,-37,-49,3
-52,-36,-53,3
-56,-35,-48,3
-52,-35,-53,3
-57,-35,-53,3
-52,-36,-48,3
-56,-37,-53,3
-53,-36,-53,3
-52,-40,-53,3
-51,-36,-53,3
-52,-36,-54,3
-52,-36,-54,3
-51,-35,-54,3
-52,-36,-53,3
-52,-35,-54,3
-53,-36,-54,3
-53,-36,-52,3
-52,-36,-52,3
-53,-35,-51,3
-53,-40,-53,3
-53,-35,-51,3
-52,-36,-55,3
-52,-35,-52,3
-52,-35,-52,3
-51,-36,-52,3
-52,-36,-53,3
-52,-36,-52,3
-53,-36,-54,3
-55,-38,-54,3
-53,-35,-51,3
-54,-37,-52,3
-55,-35,-56,3
-54,-35,-50,3
-53,-36,-54,3
-55,-35,-55,3
-55,-35,-56,3
-54,-36,-49,3
-55,-35,-54,3
-54,-36,-51,3
-54,-35,-52,3
-54,-35,-55,3
-54,-35,-55,3
-55,-35,-56,3
-54,-35,-55,3
-55,-35,-54,3
-53,-37,-55,3
-53,-37,-55,3
-53,-37,-55,3
-53,-36,-56,3
-53,-38,-55,3
-53,-36,-55,3
-52,-33,-65,4
-52,-25,-59,4
-52,-25,-65,4
-52,-25,-65,4
-53,-25,-59,4
-52,-25,-65,4
-52,-26,-58,4
-52,-25,-62,4
-53,-25,-59,4
-53,-26,-62,4
-52,-24,-59,4
-53,-26,-63,4
-53,-26,-62,4
-51,-25,-65,4
-52,-25,-62,4
-57,-24,-52,4
-51,-26,-63,4
-52,-25,-60,4
-52,-24,-60,4
-51,-27,-58,4
-52,-25,-60,4
-51,-32,-63,4
-51,-25,-65,4
-51,-26,-64,4
-51,-27,-61,4
-51,-26,-61,4
-51,-30,-63,4
-51,-28,-64,4
-52,-33,-63,4
-52,-32,-62,4
-51,-27,-62,4
-52,-27,-62,4
-52,-27,-60,4
-53,-25,-59,4
-53,-25,-64,4
-53,-34,-62,4
-53,-29,-64,4
-52,-26,-59,4
-52,-28,-65,4
-52,-25,-64,4
-51,-25,-65,4
-51,-25,-65,4
-52,-25,-62,4
-52,-26,-62,4
-52,-26,-59,4
-53,-25,-65,4
-53,-26,-58,4
-53,-25,-66,4
-53,-26,-63,4
-53,-24,-64,4
-51,-25,-63,4
-52,-26,-62,4
-53,-25,-63,4
-52,-26,-65,4
-51,-26,-58,4
-52,-27,-58,4
-53,-24,-62,4
-55,-32,-64,4
-52,-27,-65,4
-52,-25,-62,4
-52,-27,-64,4
-52,-24,-65,4
-53,-25,-63,4
-52,-22,-59,4
-53,-26,-64,4
-53,-26,-65,4
-52,-25,-64,4
-52,-25,-63,4
-52,-37,-59,4
-52,-27,-65,4
-53,-28,-64,4
-53,-25,-62,4
-52,-25,-61,4
-52,-26,-61,4
-52,-30,-65,4
-52,-25,-62,4
-52,-31,-65,4
-53,-25,-59,4
-52,-28,-59,4
-51,-26,-64,4
-53,-25,-64,4
-52,-25,-59,4
-52,-26,-64,4
-52,-24,-60,4
-52,-26,-62,4
-52,-26,-66,4
-52,-26,-60,4
-53,-25,-59,4
-53,-27,-56,4
-52,-25,-60,4
-52,-25,-62,4
-53,-27,-57,4
-52,-26,-65,4
-52,-25,-62,4
-52,-24,-63,4
-52,-25,-64,4
-52,-27,-63,4
-52,-25,-59,4
-52,-24,-62,4
-52,-25,-62,4
-53,-27,-62,4
-52,-27,-64,4
-52,-25,-64,4
-56,-25,-66,4
-53,-26,-66,4
-52,-26,-60,4
-53,-27,-66,4
-52,-25,-60,4
-52,-26,-57,4
-52,-26,-64,4
-52,-26,-59,4
-52,-25,-62,4
-52,-24,-56,4
-53,-26,-58,4
-53,-26,-62,4
-53,-25,-61,4
-53,-24,-63,4
-53,-34,-64,4
-53,-24,-58,4
-53,-26,-63,4
-56,-38,-51,5
-59,-36,-49,5
-61,-37,-51,5
-58,-37,-50,5
-60,-38,-51,5
-59,-37,-50,5
-60,-35,-50,5
-60,-38,-50,5
-57,-39,-51,5
-60,-37,-52,5
-58,-39,-49,5
-60,-41,-51,5
-60,-40,-50,5
-61,-41,-50,5
-61,-41,-49,5
-61,-41,-51,5
-58,-37,-51,5
-59,-37,-51,5
-59,-38,-51,5
-61,-36,-51,5
-61,-38,-51,5
-59,-37,-50,5
-59,-35,-51,5
-58,-38,-51,5
-58,-36,-50,5
-57,-37,-49,5
-61,-34,-51,5
-60,-37,-50,5
-57,-37,-50,5
-57,-35,-51,5
-59,-38,-51,5
-57,-37,-52,5
-58,-36,-51,5
-60,-38,-51,5
-53,-47,-53,5
-58,-45,-51,5
-60,-44,-49,5
-59,-46,-49,5
-58,-44,-51,5
-58,-45,-49,5
-56,-42,-50,5
-59,-43,-50,5
-59,-42,-51,5
-57,-42,-50,5
-56,-46,-49,5
-57,-43,-50,5
-58,-47,-51,5
-59,-41,-51,5
-55,-43,-51,5
-58,-48,-56,5
-61,-44,-54,5
-60,-47,-55,5
-59,-48,-54,5
-59,-48,-54,5
-59,-47,-54,5
-58,-46,-55,5
-58,-47,-52,5
-58,-49,-54,5
-60,-47,-55,5
-59,-45,-55,5
-61,-49,-54,5
-59,-48,-54,5
-59,-43,-51,5
-58,-48,-54,5
-59,-48,-55,5
-58,-46,-54,5
-59,-49,-52,5
-59,-46,-52,5
-59,-48,-53,5
-60,-44,-53,5
-59,-46,-54,5
-62,-47,-54,5
-60,-48,-54,5
-58,-48,-55,5
-64,-48,-53,5
-60,-47,-53,5
-61,-43,-52,5
-61,-48,-54,5
-61,-48,-52,5
-61,-43,-55,5
-59,-45,-52,5
-58,-47,-53,5
-62,-41,-54,5
-62,-48,-54,5
-61,-48,-54,5
-59,-48,-53,5
-58,-47,-53,5
-57,-47,-52,5
-58,-47,-53,5
-59,-44,-53,5
-60,-48,-53,5
-59,-44,-53,5
-59,-46,-53,5
-60,-48,-51,5
-60,-47,-52,5
-58,-48,-53,5
-58,-44,-53,5
-58,-45,-52,5
-59,-43,-53,5
-58,-43,-52,5
-60,-47,-53,5
-58,-48,-53,5
-58,-44,-52,5
-59,-47,-52,5
-60,-48,-52,5
-60,-45,-52,5
-58,-44,-54,5
-60,-48,-54,5
-60,-43,-51,5
-60,-49,-53,5
-59,-43,-53,5
-58,-48,-53,5
-59,-43,-53,5
-59,-48,-53,5
-59,-45,-56,5
-57,-38,-53,5
-57,-40,-54,5
-55,-39,-54,5
-56,-38,-54,5
-56,-37,-53,5
-51,-40,-50,6
-50,-41,-51,6
-50,-41,-51,6
-51,-41,-51,6
-51,-40,-51,6
-49,-40,-51,6
-51,-41,-50,6
-51,-41,-52,6
-51,-41,-50,6
-51,-41,-51,6
-50,-40,-52,6
-50,-41,-51,6
-54,-40,-50,6
-51,-43,-51,6
-53,-41,-50,6
-53,-40,-51,6
-54,-42,-50,6
-51,-41,-51,6
-50,-40,-51,6
-50,-40,-51,6
-51,-41,-49,6
-51,-41,-51,6
-52,-41,-50,6
-50,-40,-51,6
-50,-41,-52,6
-51,-40,-55,6
-47,-40,-51,6
-47,-40,-51,6
-47,-40,-54,6
-48,-40,-52,6
-46,-41,-51,6
-47,-40,-53,6
-47,-41,-53,6
-57,-39,-53,6
-52,-41,-53,6
-48,-36,-49,6
-46,-39,-49,6
-46,-41,-48,6
-46,-40,-48,6
-46,-41,-48,6
-47,-40,-48,6
-49,-40,-47,6
-47,-40,-48,6
-46,-39,-47,6
-49,-40,-48,6
-49,-40,-48,6
-46,-42,-47,6
-46,-39,-48,6
-46,-39,-48,6
-46,-37,-47,6
-46,-39,-47,6
-46,-41,-48,6
-46,-39,-47,6
-46,-40,-48,6
-46,-40,-47,6
-49,-40,-48,6
-46,-39,-47,6
-46,-40,-48,6
-45,-40,-48,6
-46,-39,-47,6
-46,-40,-47,6
-47,-40,-47,6
-46,-39,-48,6
-46,-40,-47,6
-46,-41,-47,6
-46,-40,-47,6
-45,-39,-47,6
-46,-40,-48,6
-46,-42,-48,6
-46,-39,-47,6
-46,-39,-48,6
-46,-41,-49,6
-46,-39,-48,6
-45,-40,-48,6
-46,-42,-47,6
-46,-39,-48,6
-46,-40,-48,6
-46,-41,-48,6
-49,-40,-47,6
-48,-40,-47,6
-46,-40,-47,6
-46,-41,-47,6
-46,-39,-47,6
-45,-41,-47,6
-45,-40,-47,6
-46,-39,-48,6
-45,-44,-48,6
-46,-40,-47,6
-45,-40,-46,6
-46,-39,-48,6
-46,-39,-48,6
-45,-40,-48,6
-46,-39,-48,6
-46,-39,-47,6
-46,-40,-47,6
-48,-38,-47,6
-45,-39,-47,6
-46,-38,-47,6
-46,-40,-48,6
-46,-40,-48,6
-46,-40,-47,6
-45,-43,-48,6
-45,-39,-47,6
-45,-41,-47,6
-45,-41,-48,6
-46,-39,-48,6
-46,-40,-48,6
-45,-39,-47,6
-47,-38,-47,6
-49,-40,-47,6
-49,-40,-48,6
-48,-39,-47,6
-48,-40,-48,6
-46,-41,-48,6
-46,-39,-48,6
-47,-39,-48,6
-47,-39,-47,6
-46,-39,-48,6
-46,-40,-48,6
-46,-39,-47,6
-51,-52,-47,7
-49,-51,-47,7
-50,-54,-47,7
-50,-49,-47,7
-50,-50,-46,7
-49,-49,-47,7
-50,-53,-47,7
-50,-50,-47,7
-50,-50,-47,7
-50,-52,-47,7
-50,-49,-47,7
-51,-50,-47,7
-50,-51,-46,7
-49,-50,-47,7
-50,-49,-47,7
-50,-51,-47,7
-50,-50,-47,7
-50,-52,-48,7
-50,-49,-47,7
-50,-50,-47,7
-49,-48,-47,7
-50,-51,-47,7
-54,-49,-48,7
-53,-51,-47,7
-52,-50,-47,7
-51,-51,-47,7
-50,-52,-47,7
-50,-52,-47,7
-49,-51,-48,7
-49,-49,-47,7
-49,-49,-46,7
-50,-50,-47,7
-49,-51,-48,7
-48,-51,-47,7
-48,-50,-48,7
-49,-50,-47,7
-49,-51,-48,7
-49,-51,-48,7
-49,-51,-48,7
-50,-50,-49,7
-50,-53,-50,7
-49,-49,-49,7
-50,-49,-48,7
-50,-48,-49,7
-50,-49,-49,7
-49,-51,-49,7
-51,-50,-49,7
-51,-50,-49,7
-50,-52,-50,7
-51,-51,-51,7
-50,-49,-48,7
-50,-50,-50,7
-50,-50,-49,7
-49,-47,-49,7
-50,-49,-50,7
-50,-50,-49,7
-48,-51,-49,7
-49,-50,-50,7
-50,-48,-49,7
-50,-51,-50,7
-51,-48,-50,7
-51,-49,-49,7
-52,-49,-49,7
-52,-48,-48,7
-51,-49,-49,7
-50,-48,-49,7
-51,-48,-49,7
-50,-50,-50,7
-51,-50,-50,7
-51,-50,-50,7
-51,-50,-48,7
-51,-50,-50,7
-51,-48,-49,7
-51,-49,-50,7
