B0,B1,B2,Label
-62,-45,-44,2
-49,-60,-40,8
-49,-53,-46,16
-58,-47,-43,2
-49,-51,-48,7
-53,-25,-62,4
-55,-35,-51,3
-27,-57,-54,13
-42,-49,-50,15
-55,-35,-54,3
-62,-54,-51,15
-47,-53,-50,12
-44,-55,-53,10
-47,-59,-54,10
-52,-25,-63,4
-52,-25,-60,4
-40,-48,-51,15
-48,-53,-50,12
-61,-45,-44,2
-48,-53,-45,16
-53,-36,-54,3
-43,-51,-52,15
-47,-52,-50,12
-57,-47,-44,2
-31,-48,-56,14
-30,-44,-53,14
-42,-49,-52,11
-58,-56,-29,1
-42,-50,-53,11
-58,-46,-42,2
-42,-51,-52,15
-56,-46,-44,2
-41,-49,-50,15
-52,-50,-56,7
-41,-44,-49,9
-26,-54,-54,13
-59,-45,-55,5
-28,-53,-54,13
-47,-55,-51,12
-47,-55,-52,12
-27,-53,-53,13
-49,-55,-53,10
-51,-50,-49,7
-52,-25,-64,4
-28,-57,-51,13
-44,-54,-53,10
-59,-52,-29,1
-52,-26,-58,4
-51,-41,-51,6
-40,-47,-51,10
-56,-45,-43,2
-61,-34,-51,5
-54,-35,-55,3
-48,-50,-48,7
-49,-58,-40,8
-42,-44,-48,9
-32,-47,-56,14
-52,-26,-61,4
-27,-57,-52,13
-57,-37,-52,5
-57,-37,-50,5
-42,-44,-48,9
-51,-30,-63,4
-42,-48,-50,15
-57,-46,-43,2
-31,-49,-56,14
-30,-44,-53,14
-51,-50,-50,7
-49,-59,-39,8
-31,-44,-52,14
-56,-37,-53,3
-55,-53,-28,1
-41,-44,-49,9
-47,-53,-51,12
-56,-55,-29,1
-48,-40,-47,6
-51,-53,-37,8
-52,-50,-49,7
-54,-35,-52,3
-49,-52,-44,16
-59,-44,-53,5
-62,-45,-44,2
-52,-25,-65,4
-41,-51,-50,15
-51,-48,-49,7
-31,-46,-54,14
-48,-52,-45,16
-53,-38,-55,3
-27,-57,-51,13
-59,-38,-51,5
-54,-35,-55,3
-41,-50,-50,15
-42,-50,-53,11
-40,-47,-49,15
-48,-53,-51,12
-49,-52,-45,16
-47,-53,-51,12
-57,-51,-29,1
-60,-49,-53,5
-47,-53,-50,12
-41,-43,-49,9
-48,-52,-51,12
-55,-35,-51,3
-55,-54,-51,12
-42,-45,-48,9
-53,-56,-39,8
-42,-46,-51,11
-47,-55,-51,12
-42,-50,-50,15
-41,-50,-52,11
-61,-48,-52,5
-54,-35,-53,3
-49,-51,-46,16
-56,-46,-44,2
-51,-41,-50,6
-57,-47,-42,2
-49,-60,-39,8
-42,-50,-50,15
-49,-56,-35,8
-48,-53,-50,12
-41,-48,-48,9
-50,-53,-45,16
-40,-48,-54,10
-41,-45,-48,9
-52,-36,-53,3
-47,-55,-51,12
-46,-41,-48,6
-51,-49,-49,7
-50,-55,-40,8
-58,-53,-28,1
-49,-48,-47,7
-53,-29,-64,4
-54,-49,-48,7
-51,-50,-50,7
-40,-48,-48,9
-52,-50,-56,7
-52,-27,-64,4
-49,-52,-45,16
-52,-40,-51,3
-57,-53,-29,1
-53,-35,-49,3
-50,-50,-47,7
-59,-45,-56,5
-27,-55,-51,13
-60,-54,-30,1
-54,-52,-50,12
-49,-59,-40,8
-48,-53,-50,12
-32,-47,-56,14
-28,-53,-53,13
-49,-52,-45,16
-60,-46,-43,2
-54,-53,-29,1
-50,-49,-49,7
-28,-57,-53,13
-41,-51,-48,9
-41,-48,-51,11
-52,-25,-60,4
-42,-50,-50,15
-46,-41,-47,6
-32,-47,-55,14
-59,-35,-51,5
-55,-54,-29,1
-54,-56,-35,8
-42,-50,-49,11
-52,-25,-62,4
-49,-57,-35,8
-56,-35,-54,3
-51,-36,-52,3
-50,-50,-49,7
-51,-48,-50,7
-27,-53,-52,13
-43,-58,-49,10
-41,-55,-50,10
-48,-39,-47,6
-41,-46,-51,11
-48,-53,-50,12
-51,-36,-53,3
-55,-43,-51,5
-26,-54,-54,13
-53,-40,-51,6
-61,-47,-42,2
-50,-51,-47,7
-42,-45,-49,9
-40,-49,-48,9
-59,-43,-51,5
-39,-51,-50,15
-58,-45,-44,2
-58,-54,-29,1
-52,-24,-62,4
-41,-44,-48,9
-27,-54,-56,13
-42,-46,-53,10
-49,-50,-56,7
-42,-49,-53,11
-30,-44,-51,14
-49,-53,-45,16
-41,-42,-48,9
-30,-47,-56,14
-41,-48,-50,15
-40,-46,-51,10
-54,-35,-53,3
-50,-55,-40,8
-31,-44,-53,14
-43,-55,-52,10
-55,-55,-29,1
-49,-51,-48,7
-47,-55,-51,12
-60,-35,-50,5
-51,-26,-61,4
-59,-48,-53,5
-49,-40,-47,6
-42,-48,-49,11
-49,-52,-46,16
-40,-43,-49,9
-52,-37,-59,4
-61,-46,-42,2
-46,-39,-48,6
-53,-25,-59,4
-52,-25,-60,4
-51,-47,-55,7
-47,-55,-51,12
-41,-43,-49,9
-59,-48,-53,5
-40,-44,-47,9
-48,-52,-51,12
-47,-54,-51,12
-42,-49,-52,11
-49,-61,-40,8
-58,-46,-43,2
-63,-47,-44,2
-56,-38,-51,5
-58,-47,-53,5
-51,-37,-49,3
-47,-54,-51,12
-55,-35,-56,3
-52,-25,-61,4
-47,-55,-52,12
-49,-52,-45,16
-49,-58,-42,8
-31,-44,-53,14
-42,-50,-52,11
-56,-44,-43,2
-39,-48,-53,10
-41,-46,-49,9
-49,-51,-48,7
-50,-58,-35,8
-42,-50,-52,15
-48,-53,-50,12
-41,-50,-53,11
-52,-50,-49,7
-59,-48,-54,5
-40,-50,-51,15
-47,-55,-51,12
-46,-40,-48,6
-41,-44,-48,9
-52,-48,-56,7
-52,-26,-66,4
-56,-46,-44,2
-47,-53,-51,15
-28,-52,-52,13
-45,-39,-47,6
-40,-46,-51,10
-40,-48,-51,10
-52,-47,-54,7
-58,-47,-43,2
-47,-38,-47,6
-40,-55,-54,10
-45,-40,-47,6
-51,-25,-63,4
-57,-46,-42,2
-40,-50,-50,15
-32,-47,-56,14
-48,-56,-52,12
-55,-53,-29,1
-49,-52,-45,16
-60,-55,-29,1
-55,-36,-50,3
-42,-50,-53,11
-40,-49,-51,15
-43,-50,-50,15
-47,-55,-51,12
-41,-43,-48,9
-30,-47,-54,14
-57,-54,-28,1
-52,-26,-59,4
-27,-54,-55,13
-60,-46,-44,2
-31,-47,-56,14
-53,-36,-55,3
-56,-37,-53,5
-41,-43,-49,9
-51,-41,-49,6
-53,-25,-64,4
-52,-36,-52,3
-56,-45,-39,8
-63,-46,-43,2
-55,-55,-28,1
-47,-39,-48,6
-60,-47,-43,2
-27,-54,-55,13
-62,-47,-54,5
-56,-56,-29,1
-47,-53,-51,12
-61,-47,-44,2
-41,-48,-52,11
