B0,B1,Label
-50,-34,8
-54,-48,16
-47,-46,15
-50,-33,8
-60,-36,2
-58,-56,4
-43,-42,12
-55,-49,6
-51,-44,7
-43,-60,9
-54,-49,6
-44,-54,10
-48,-27,1
-47,-46,15
-53,-48,16
-54,-57,5
-49,-27,1
-48,-47,15
-54,-47,16
-37,-55,14
-48,-47,15
-60,-58,4
-48,-42,3
-58,-37,2
-44,-52,10
-52,-47,16
-51,-42,3
-48,-42,11
-48,-42,3
-52,-47,16
-59,-59,4
-46,-46,15
-47,-45,15
-43,-43,12
-48,-27,1
-51,-45,16
-49,-43,11
-49,-42,3
-57,-36,2
-42,-43,12
-51,-44,7
-58,-37,2
-58,-57,4
-48,-42,11
-27,-49,13
-44,-42,12
-44,-58,10
-44,-63,9
-45,-50,10
-44,-54,9
-27,-46,13
-47,-46,15
-43,-43,12
-43,-44,12
-49,-42,3
-49,-32,8
-52,-56,5
-49,-33,8
-52,-33,8
-39,-58,14
-43,-43,12
-45,-60,10
-26,-46,13
-51,-33,8
-45,-50,10
-55,-49,6
-51,-43,7
-52,-50,16
-27,-46,13
-37,-55,14
-45,-54,9
-48,-26,1
-44,-61,9
-48,-33,8
-55,-36,2
-27,-49,13
-47,-46,15
-57,-46,3
-48,-46,15
-42,-60,9
-54,-49,6
-49,-42,3
-54,-58,5
-54,-56,5
-43,-48,10
-44,-44,12
-49,-42,11
-58,-36,2
-37,-56,14
-51,-43,7
-54,-57,5
-58,-36,2
-43,-43,12
-54,-47,6
-54,-57,5
-45,-65,9
-52,-48,16
-48,-27,1
-50,-33,8
-43,-43,12
-51,-44,7
-38,-58,14
-50,-47,16
-65,-61,4
-58,-37,2
-48,-27,1
-51,-43,7
-37,-56,14
-49,-45,11
-25,-47,13
-57,-37,2
-48,-46,15
-26,-46,13
-51,-46,16
-50,-44,7
-37,-57,14
-47,-47,3
-49,-42,11
-58,-37,2
-43,-44,12
-48,-41,11
-37,-56,14
-55,-57,4
-50,-49,16
-51,-58,5
-47,-46,15
-26,-48,13
-48,-42,3
-48,-26,1
-52,-49,16
-52,-48,16
-43,-59,9
-51,-58,5
-37,-56,14
-51,-44,7
