B0,B1,Label
-48,-42,11
-50,-46,16
-48,-43,7
-44,-54,10
-51,-34,8
-44,-59,9
-53,-54,5
-54,-56,5
-54,-57,5
-57,-37,2
-55,-48,6
-26,-49,13
-43,-44,12
-44,-62,9
-51,-44,7
-61,-59,4
-53,-56,4
-55,-44,3
-46,-50,10
-47,-46,15
-43,-45,12
-47,-45,15
-49,-24,1
-49,-27,1
-43,-44,12
-60,-56,4
-57,-39,2
-54,-55,4
-49,-47,16
-51,-33,8
-52,-48,16
-55,-48,6
-47,-27,1
-49,-45,11
-51,-44,11
-26,-47,13
-49,-43,3
-49,-42,3
-61,-58,4
-43,-64,9
-44,-43,12
-52,-56,5
-57,-36,2
-37,-55,14
-53,-44,1
-48,-46,15
-47,-46,15
-49,-41,3
-58,-37,2
-44,-44,12
-43,-62,9
-56,-56,4
-26,-48,13
-48,-34,1
-48,-46,15
-52,-34,8
-50,-42,7
-48,-42,3
-37,-56,14
-62,-58,4
-51,-43,7
-52,-34,8
-50,-32,8
-44,-58,10
-58,-36,2
-60,-58,4
-48,-42,3
-37,-58,14
-49,-26,1
-53,-47,16
-51,-35,8
-55,-47,6
-51,-43,7
-26,-45,13
-58,-58,4
-48,-47,15
-57,-37,2
-50,-46,16
-58,-37,2
-56,-60,5
-46,-46,15
-44,-52,10
-52,-49,16
-50,-49,16
-37,-58,14
-55,-47,6
-47,-47,15
-37,-55,14
-48,-42,3
-43,-44,12
-58,-37,2
-56,-48,6
-49,-27,1
-55,-48,6
-50,-48,16
-43,-45,12
-57,-36,2
-47,-42,11
-49,-50,16
-44,-59,9
-52,-34,8
-49,-33,8
-43,-43,12
-53,-57,5
-50,-44,3
-47,-40,11
-47,-48,15
-44,-52,10
-48,-42,11
-50,-43,7
-26,-42,13
-54,-58,5
-54,-56,5
-43,-43,12
-50,-43,15
-48,-41,1
-56,-49,6
-53,-56,5
-46,-47,15
-52,-46,16
-44,-59,9
-26,-48,13
-53,-56,5
-49,-46,16
-54,-49,6
-50,-33,8
-45,-51,10
-48,-26,1
-50,-45,16
-37,-57,14
-57,-37,2
-51,-44,7
-54,-56,5
-26,-48,13
-37,-54,14
-50,-33,8
-62,-61,4
-50,-45,16
-51,-42,7
-49,-43,11
-50,-33,8
-49,-44,15
-46,-52,10
-56,-58,5
-53,-58,5
-26,-47,13
-47,-42,3
-52,-47,16
-27,-47,13
-44,-60,9
-37,-54,14
-55,-48,6
-55,-46,16
-51,-47,15
-48,-42,3
-54,-49,6
-49,-41,11
-26,-48,13
-48,-43,11
-44,-49,10
-48,-46,15
-56,-53,4
-44,-55,9
-48,-42,3
-58,-37,2
-43,-43,12
-44,-61,9
-54,-43,7
-52,-33,8
-49,-42,11
-65,-50,4
-53,-50,16
-44,-48,10
-47,-46,15
-63,-58,4
-51,-27,1
-50,-40,11
-43,-60,9
-52,-60,5
-42,-59,10
